studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,studentname,10thmark,12thmark,cutoff,Annualincome,community,extracurricularinfo,gender,age,numberofprojects,numberofresearchpapers,levelofresearchpapers,competitions,gatescore,grescore,gmatscore,catscore,toeflscore,ieltsscore,leetcodecount,codechefstars,languagesknown,onlinecourses,internship,preferredcountry,preferreddegree,preferredcourse
Rebecca Gomez,S908389,Data Science,C,2nd,2026,10/26/2002,"2047 Martha Mountains
Janicemouth, MO 15393",001-969-731-3561x232,jason39@example.org,7.11,54,59,77,47633,ST,Sports,Female,25,4,2,International,None,15,333,794,20,72,9,0,1,Chinese,Coursera,No,Canada,MBA,Software Engineering
Bonnie Baker,S196515,Mechanical,B,4th,2025,8/16/1999,"327 Bonnie Isle
East Belindaview, VA 52122",+1-413-941-3566x831,cmoran@example.org,8.85,78,100,74,41169,General,Music,Male,30,4,4,Local,None,36,293,369,19,91,2,19,5,English,None,No,Australia,MBA,AI
Selena Marshall,S144494,Mechanical,A,2nd,2026,10/14/2000,"08868 John Corners
East Brandi, MI 09969",846.939.9659x78639,davidwelch@example.org,9.37,71,61,62,49916,SC,Arts,Other,18,3,3,National,None,36,285,512,37,105,6,2,4,Chinese,Udacity,Yes,Germany,M.Tech,Machine Learning
Jessica Marshall,S789575,Data Science,A,2nd,2027,1/24/2006,"USNS Rodriguez
FPO AA 95779",984-957-2083x7129,ricardo80@example.com,8.23,79,89,76,38758,OBC,Sports,Other,28,1,1,International,Quiz,43,291,524,0,52,1,95,2,Chinese,edX,Yes,Germany,PhD,Machine Learning
Veronica Phillips,S569937,Computer Science,A,4th,2025,6/4/2002,"76915 Sims Trafficway
Lake Davidton, AR 27970",228-875-5228,kylesawyer@example.org,2.43,62,64,66,42044,SC,None,Other,19,10,3,International,Hackathon,30,271,456,28,16,2,90,4,Spanish,Coursera,No,Canada,PhD,AI
Dorothy Pacheco,S937739,Computer Science,B,3rd,2027,8/14/2004,"PSC 3117, Box 5737
APO AE 26138",902.330.3073x96074,brian59@example.org,1.41,73,81,63,43418,SC,Arts,Male,19,3,2,International,Hackathon,30,305,378,87,42,7,34,4,Spanish,None,No,UK,MBA,AI
Frederick Thompson,S866459,Electronics,B,3rd,2027,8/29/1997,"Unit 5262 Box 7827
DPO AP 44985",296.742.5092,hsosa@example.net,9.09,86,63,72,97112,OBC,Arts,Male,31,7,1,International,Quiz,1,332,708,82,2,9,83,5,Spanish,Coursera,Yes,USA,MBA,Machine Learning
Jacqueline Clayton,S696830,Mechanical,B,3rd,2026,3/12/1994,"3612 Kelli Mills Apt. 616
Lake Isaac, IL 29978",6029057551,brian85@example.net,3.33,95,90,56,55910,SC,Arts,Other,25,1,3,National,None,96,332,280,25,87,8,55,3,Chinese,None,No,Canada,M.Tech,Machine Learning
Katie Faulkner,S745445,Computer Science,A,3rd,2027,10/28/1995,"8518 Valdez Ports
Omarside, AR 21203",742-400-4340x620,nbrady@example.com,3.24,74,89,60,30281,SC,None,Other,26,1,0,International,Hackathon,67,336,233,28,65,2,20,1,French,edX,No,USA,MBA,Software Engineering
Lauren Faulkner,S238556,Data Science,B,1st,2027,12/23/1998,"98977 Nancy Union Apt. 970
Scottland, AK 21838",001-530-951-4345,willisvernon@example.org,8.33,93,59,63,47521,ST,Arts,Male,24,5,4,National,None,70,333,704,66,63,5,70,2,Chinese,Coursera,Yes,UK,M.Sc,AI
Alexa Davis,S949338,Computer Science,C,4th,2028,9/24/1999,"852 Ann Corner
New Michaelland, AS 12986",987-215-6655x3668,qenglish@example.net,8.52,75,82,77,108571,ST,Music,Other,21,3,1,International,Hackathon,33,320,712,67,22,7,40,0,English,Udacity,No,USA,M.Tech,Software Engineering
Garrett Mitchell,S845236,Electronics,C,3rd,2026,5/20/1998,"81935 Carolyn Shore
Sloanfurt, MT 86460",001-561-641-2331x501,sophiaosborne@example.com,9.33,98,99,61,61599,OBC,Sports,Male,18,4,1,Local,Quiz,76,334,235,91,33,3,84,0,Spanish,Coursera,No,UK,PhD,Software Engineering
Brittany Hunter,S402432,Computer Science,C,2nd,2025,8/14/2002,"184 Curry Summit Suite 097
New Jacob, VI 02966",(510)688-0551x732,jasoncollins@example.com,5.1,74,64,96,103135,SC,Arts,Male,27,1,3,Local,None,98,323,642,51,17,0,15,3,Chinese,Udacity,Yes,Germany,M.Tech,Data Science
Alexander Reeves,S330650,Electronics,C,4th,2026,10/10/1995,"847 Evans River
Jenkinsport, AL 53096",(498)476-1004x63183,ortiztamara@example.com,4.03,51,77,75,44203,OBC,Arts,Male,18,6,2,Local,None,88,280,757,29,118,1,8,4,Chinese,edX,No,Canada,PhD,Data Science
Amanda Villanueva,S177429,Mechanical,A,2nd,2028,6/6/2002,"43967 Steve Estate Apt. 845
Port Jaime, MA 58621",849.539.7653x69041,vincenttroy@example.org,6.36,59,95,90,108609,OBC,Arts,Female,24,10,1,Local,Hackathon,64,330,317,27,105,6,21,1,English,Udacity,No,USA,MBA,AI
Crystal Vargas,S957163,Data Science,C,3rd,2028,3/10/1995,"8293 Veronica Shoals
Saraport, SD 80842",6826671144,bennetthannah@example.org,8.37,79,70,66,53480,ST,None,Female,21,0,5,International,Coding Contest,89,289,523,97,9,8,71,3,Chinese,edX,Yes,UK,M.Sc,Machine Learning
Helen Macias,S576259,Mechanical,B,1st,2026,10/24/2003,"941 Isaiah Street
Dominguezfort, NH 14581",001-528-830-1104x985,zacharyobrien@example.org,7.01,90,65,74,50066,OBC,None,Male,25,3,0,National,Quiz,26,333,704,7,71,7,65,2,Chinese,None,Yes,Canada,PhD,Software Engineering
Joanna Fox,S139687,Mechanical,A,2nd,2025,2/1/1998,"5360 Foster Rue
South Bradleyberg, NV 48278",001-956-815-9391,jaredhill@example.com,8.18,73,54,97,111239,ST,Sports,Other,20,7,0,National,Hackathon,72,285,759,5,12,2,100,3,French,None,Yes,Australia,M.Sc,Machine Learning
Benjamin Jackson,S123302,Data Science,C,4th,2028,2/18/2006,"83861 Susan Inlet
Karibury, CA 89219",871-800-4777,brooke87@example.com,5.08,87,70,64,117428,SC,Sports,Female,31,6,0,Local,Hackathon,61,335,434,23,96,2,97,3,Chinese,None,Yes,USA,M.Tech,Software Engineering
Laura Morgan,S776855,Computer Science,C,4th,2026,9/2/2005,"57778 Page Springs Suite 917
Zacharychester, MN 84249",001-501-754-1812x57204,ohart@example.org,9.23,75,64,75,33207,SC,None,Male,27,8,0,International,Quiz,54,289,545,24,89,4,28,4,French,edX,No,UK,M.Tech,Software Engineering
Heather Wright,S751990,Mechanical,A,2nd,2025,12/30/1997,"774 Chase Pines
North Luismouth, GU 03321",4613870191,curtisrobert@example.org,4.61,81,52,65,54046,General,Arts,Female,19,4,5,International,None,41,296,787,3,81,6,35,4,Spanish,Coursera,Yes,Germany,PhD,AI
Bobby Gould,S591282,Mechanical,A,2nd,2026,2/1/1995,"874 Kelley Views Suite 226
East Devinstad, TN 32482",6087519805,patricianorman@example.org,5.41,53,86,70,51631,SC,None,Other,20,5,5,International,None,34,285,472,99,111,8,83,2,German,Udacity,Yes,Canada,M.Tech,Machine Learning
Brandon Mcgee,S133711,Computer Science,B,2nd,2028,3/16/2001,"PSC 4110, Box 0410
APO AE 47872",001-937-419-8457x9302,cassandra52@example.org,8.49,94,76,68,97677,ST,Music,Female,29,6,0,Local,Coding Contest,79,278,538,21,61,5,75,2,German,Coursera,No,UK,M.Tech,Data Science
Madeline Salas,S572311,Data Science,C,1st,2026,6/18/2000,"Unit 1186 Box 6123
DPO AP 56298",6653097480,moralesjohn@example.org,4.63,89,66,78,30686,ST,Sports,Other,20,2,3,International,None,28,313,503,69,42,4,0,2,Chinese,Udacity,Yes,Canada,PhD,Software Engineering
Kristen Marshall,S628954,Mechanical,A,3rd,2028,1/29/2006,"4435 Michael Loop
Simmonsfurt, ID 14208",212-641-6030x432,nmacdonald@example.org,7.76,56,93,64,32910,SC,Sports,Female,24,1,2,International,None,32,270,750,7,84,9,54,2,French,edX,No,USA,MBA,Machine Learning
Monica Gaines,S621915,Data Science,B,3rd,2027,9/25/2003,"022 Dwayne Dale Apt. 517
Gloriaton, NC 96251",848.490.0708,scott48@example.com,5.21,61,99,75,56904,OBC,Sports,Male,24,7,0,National,Quiz,53,340,750,14,58,6,26,3,Spanish,Udacity,No,Germany,PhD,Software Engineering
Cynthia Smith,S373204,Computer Science,C,1st,2028,9/6/2003,"523 Glenn Lights Suite 863
South Amber, AZ 21718",8906809248,arodriguez@example.net,6.26,74,51,93,84106,ST,Music,Male,27,9,1,International,Hackathon,93,319,397,47,36,3,80,0,Spanish,Udacity,Yes,Canada,PhD,Software Engineering
Tracy Massey,S510312,Computer Science,B,3rd,2027,5/23/2005,"706 Michael Turnpike
Collinsfort, AZ 67308",5264399086,penningtonamy@example.org,5.36,67,89,91,119718,ST,Arts,Male,18,6,2,International,Quiz,0,294,596,77,45,3,0,4,Spanish,None,Yes,USA,MBA,AI
Tammy Neal,S929432,Data Science,A,3rd,2025,5/5/1998,"USNV Bernard
FPO AP 63785",573-910-6961x1465,megan00@example.com,1.68,88,54,70,119892,SC,None,Male,29,6,1,International,Quiz,90,317,784,11,3,3,3,4,English,edX,No,Germany,M.Tech,Software Engineering
Kelsey Page,S907746,Data Science,C,2nd,2027,11/13/2001,"412 Lawson Lock Suite 899
Timothyport, VI 42794",966-935-3267x539,mccoytimothy@example.net,3.28,88,58,67,111760,SC,None,Male,25,2,5,Local,Hackathon,80,300,364,48,89,2,43,4,Spanish,Coursera,No,Germany,M.Tech,AI
Daniel Turner,S609159,Data Science,A,2nd,2027,2/18/1999,"31898 Garcia Street
Alyssaland, MA 40477",(772)358-4828x22018,angela90@example.org,0.15,66,97,61,110718,ST,Sports,Male,27,10,2,Local,Quiz,27,321,670,20,63,3,33,5,Spanish,edX,Yes,USA,PhD,Machine Learning
Jeffery Norton,S368492,Computer Science,C,4th,2026,3/10/2002,"8737 Krause Falls Apt. 536
Hopkinsview, UT 70947",652.304.9303x661,pruittkathryn@example.net,0.82,96,89,86,67527,ST,Music,Female,28,6,0,Local,None,92,302,445,98,79,4,33,2,Spanish,None,No,Germany,M.Tech,AI
Gregory Mendez,S111523,Computer Science,A,2nd,2025,11/2/2000,"PSC 8054, Box 7651
APO AE 91470",001-215-575-9825x7846,brian95@example.org,7.99,78,73,96,96193,ST,None,Other,18,5,3,International,Quiz,6,317,650,86,73,7,54,5,Chinese,Udacity,No,UK,PhD,Software Engineering
Jose Pitts,S210205,Electronics,C,3rd,2027,8/29/2005,"9419 Sheila Village
Taylorview, DC 69200",(746)811-9170,andersonkelly@example.net,5.35,98,91,72,115365,ST,Arts,Other,26,4,4,National,Quiz,60,281,479,16,21,8,87,2,English,None,No,UK,MBA,Data Science
Catherine Oliver,S935379,Electronics,C,2nd,2028,10/6/2003,"1423 Riley Plains
Bellland, SD 03456",001-827-795-0649x589,michelleparker@example.net,4.6,83,100,86,40082,OBC,Arts,Male,30,9,2,International,Coding Contest,8,331,773,46,75,5,54,5,English,edX,Yes,Germany,PhD,Data Science
Jeffrey Jensen,S914446,Computer Science,C,2nd,2027,12/4/1993,"96566 Rachel Isle Apt. 009
Samanthastad, WI 99560",+1-864-650-4235x431,julia98@example.com,9.61,59,54,74,60451,OBC,Music,Other,24,4,4,Local,Hackathon,75,330,308,76,54,0,5,1,French,edX,Yes,Germany,PhD,Data Science
Benjamin Tate,S105826,Data Science,C,1st,2025,10/5/1993,"Unit 1913 Box 1637
DPO AE 76467",+1-452-963-6607x60477,wilsonkaren@example.org,0.24,90,94,84,65461,OBC,Music,Other,23,9,5,Local,Coding Contest,99,302,497,15,5,8,3,3,German,Udacity,No,Germany,M.Sc,Data Science
Teresa Tran,S134637,Data Science,A,4th,2026,5/28/2006,"0173 Margaret Points Apt. 744
Thomasfurt, MO 82227",(393)843-8580x2763,richardherrera@example.org,7.1,72,70,52,100943,General,Music,Female,19,4,5,National,None,12,289,672,49,11,6,43,1,German,None,Yes,Canada,MBA,AI
Mr. Daniel Vincent MD,S911841,Data Science,C,4th,2027,6/21/2001,"7322 Jack Corners Suite 751
Karenton, WY 12029",663-555-8168x8872,phillipramirez@example.net,9.75,67,52,78,111258,SC,Sports,Other,28,6,5,National,None,44,330,571,56,7,6,66,1,French,Coursera,Yes,Canada,M.Sc,Machine Learning
Lisa Hancock,S887249,Data Science,A,3rd,2028,4/20/1995,"27589 Rivera Point
Jeremyton, ID 24503",363-912-4783,tylerferguson@example.net,4.47,70,51,97,83881,ST,Music,Other,26,9,3,International,Quiz,48,273,266,49,85,0,9,2,French,Udacity,Yes,Canada,M.Sc,Data Science
Michelle Richardson,S617660,Data Science,B,2nd,2025,7/23/2002,"862 Gonzalez Landing
Williamsborough, FM 57287",+1-839-237-4483x16167,jesseholt@example.org,0.86,86,86,66,38937,General,Arts,Other,30,0,3,Local,Coding Contest,17,321,561,69,52,5,3,0,Chinese,edX,No,Australia,M.Sc,Data Science
Alfred Cox,S222643,Data Science,B,2nd,2027,12/25/1993,"0606 Michael Islands Suite 551
Herreraborough, PW 11752",+1-362-427-2311x94458,mccarthymarissa@example.com,2.99,76,75,71,107258,OBC,Music,Male,20,8,0,International,Quiz,31,264,556,62,56,2,47,0,Spanish,Udacity,Yes,Australia,M.Tech,Data Science
Linda Steele,S677904,Electronics,A,4th,2026,11/30/2002,"2926 Brenda Common
Keyberg, OK 56607",841.564.8453x70434,aanderson@example.com,5.19,72,71,68,34131,ST,None,Male,22,3,4,Local,Hackathon,52,322,676,9,104,9,14,2,German,None,No,Canada,M.Tech,Software Engineering
Austin Newton,S630738,Mechanical,C,3rd,2027,3/12/1998,"3545 Peterson Crossroad
New Lisaberg, ID 51716",294-662-8039x808,haydenjoyce@example.net,0.5,93,79,65,118121,ST,Arts,Female,25,2,0,National,Hackathon,2,327,280,82,95,1,69,1,German,Udacity,No,UK,M.Tech,Data Science
Joshua Peterson,S734723,Electronics,C,1st,2027,12/26/1995,"05002 Charles River Suite 523
Lake Bradley, OR 02462",516-965-4142,dana86@example.com,9.74,77,67,51,109686,SC,Music,Female,30,5,0,International,None,38,309,726,27,118,8,96,3,English,None,No,UK,M.Sc,Machine Learning
Kristine Stout,S240910,Mechanical,C,1st,2026,10/19/2005,"833 Martin Station Apt. 275
Catherineville, UT 20887",-5932,emalone@example.com,5.44,91,78,63,81102,OBC,Sports,Female,20,4,3,International,Hackathon,14,280,676,50,33,5,97,3,German,Udacity,No,Canada,M.Tech,AI
Joe Bailey,S718650,Computer Science,A,4th,2027,1/1/2004,"3817 David Rue
Mckinneymouth, PR 26770",3873240980,nclark@example.com,0.59,61,98,95,98482,OBC,Sports,Other,22,7,1,Local,Quiz,78,269,639,80,94,5,64,0,French,edX,Yes,Canada,M.Tech,AI
Lynn Hicks,S622304,Electronics,A,2nd,2028,5/9/1998,"905 Norma Passage
New Nathan, PR 70524",4692648401,andrewsmith@example.net,8.97,56,92,98,77247,SC,Sports,Male,23,9,5,Local,Quiz,87,309,657,62,56,0,30,0,Chinese,None,Yes,Germany,M.Sc,Machine Learning
Peter Summers,S427704,Computer Science,B,1st,2026,10/19/1994,"23283 Sullivan Extensions
Austinbury, CT 04341",001-676-835-3253x38022,brucehoward@example.org,7.13,100,89,92,67479,ST,Music,Other,29,5,5,National,Quiz,29,275,761,20,113,1,39,5,English,Coursera,No,Germany,M.Sc,Software Engineering
Terry Bryant,S346770,Data Science,A,2nd,2025,10/12/1997,"39786 Williams Mountain
Gabrielleborough, ND 97006",713.529.7892,nicole40@example.com,2.37,69,94,52,112104,SC,Sports,Other,23,9,4,National,Hackathon,24,301,586,2,25,2,12,3,Spanish,edX,No,USA,M.Sc,Machine Learning
Mason Howard MD,S879053,Mechanical,B,4th,2025,12/14/2005,"423 Morgan Squares
Farrelltown, SD 89805",001-281-212-4481x33882,mreynolds@example.com,8.47,77,99,87,116147,General,None,Female,28,8,1,International,None,4,262,365,44,94,1,42,0,Spanish,edX,Yes,Australia,M.Tech,Software Engineering
Carrie Bradley,S773016,Computer Science,B,4th,2025,10/20/1994,"7737 Miller River
Port Kimberly, IA 60666",659.596.8039,ericsmith@example.com,9.95,92,73,69,41739,OBC,Music,Other,21,0,5,Local,Quiz,24,325,569,40,108,1,9,0,Chinese,Coursera,No,USA,PhD,Data Science
Hunter Smith,S821873,Computer Science,B,1st,2028,6/8/2003,"657 Lynch Motorway
Grahamstad, CT 27922",824-237-8016,allenjeremy@example.org,1.44,82,72,64,113513,ST,None,Other,26,7,0,National,Quiz,14,269,441,25,73,5,21,2,Spanish,edX,No,Germany,M.Sc,Data Science
Melissa Olson,S576540,Data Science,B,2nd,2025,12/29/2004,"753 Anderson Port Apt. 765
West Johnton, SD 74482",630-261-9995,cooleyjessica@example.org,5.1,88,89,77,87672,OBC,None,Other,20,6,3,National,Quiz,74,280,277,100,40,3,79,4,Chinese,edX,No,Canada,MBA,AI
Dr. Erica Lee,S123492,Data Science,C,4th,2027,11/30/2005,"011 Tucker Extension Apt. 425
West Dianeland, GU 22002",+1-907-662-9153x6737,annanderson@example.net,9.66,86,81,53,85096,General,Arts,Other,29,3,4,National,Coding Contest,97,339,569,42,105,6,26,0,French,Udacity,Yes,Germany,M.Sc,AI
James Davis,S547291,Computer Science,C,4th,2028,7/22/2000,"2013 Washington Extension
Port Johnfurt, NM 77848",(640)724-3343,lsmith@example.com,1.31,53,53,50,58897,SC,Arts,Female,21,0,5,National,Hackathon,18,285,635,43,72,7,34,0,Spanish,None,No,Germany,M.Tech,Data Science
Kurt Matthews,S408619,Data Science,B,3rd,2028,8/11/2003,"7194 Samuel Shoals
Timothyport, WY 04762",(772)482-8018x520,sharon14@example.com,3.91,62,63,69,112170,General,Arts,Male,27,6,3,International,Hackathon,53,315,741,79,98,0,66,1,German,Coursera,No,Germany,M.Sc,Machine Learning
Brian Gonzalez,S661762,Mechanical,A,4th,2027,6/16/1996,"PSC 3811, Box 8978
APO AA 12140",846.743.3683x23982,joseph18@example.com,1.55,92,100,55,119328,SC,Sports,Male,23,6,4,International,Coding Contest,1,332,685,24,19,9,88,5,Spanish,Udacity,Yes,Germany,M.Tech,Software Engineering
Lauren Bauer,S602345,Mechanical,B,3rd,2028,12/8/2004,"40561 Barbara Tunnel
Alexandrahaven, MP 79421",5393022362,philipfowler@example.net,6.74,100,100,85,101396,SC,Sports,Other,28,0,3,Local,Hackathon,36,327,229,62,3,5,79,4,Spanish,Coursera,No,USA,PhD,Software Engineering
Lauren Bell,S559271,Data Science,A,3rd,2025,4/22/1994,"871 Day Shores
North Clayton, SD 22118",326-865-5317,gina38@example.com,9.83,96,71,68,72578,ST,Arts,Male,26,9,5,National,Coding Contest,67,274,755,5,40,9,31,0,English,None,Yes,USA,PhD,Machine Learning
Marcus Garcia,S451197,Computer Science,B,3rd,2025,8/29/2003,"8378 Maddox Gateway
Nguyenberg, VI 51592",(321)760-4564x65339,gonzalezwilliam@example.net,7.7,92,65,90,102320,SC,Music,Male,20,8,1,International,None,28,300,447,94,44,6,87,3,French,None,Yes,Australia,MBA,Software Engineering
Gwendolyn Cunningham,S833001,Data Science,C,2nd,2028,4/3/2001,"PSC 4181, Box 7249
APO AA 89701",3175485295,craigcox@example.org,0.03,92,91,80,117682,OBC,Arts,Other,26,7,3,National,Coding Contest,27,338,686,99,102,0,14,3,Chinese,edX,Yes,UK,PhD,Software Engineering
Sonya Rodriguez,S502456,Mechanical,A,4th,2027,3/4/1996,"8734 Roberts Shores
East Christinaton, IA 36269",393.605.2093,sweiss@example.net,8.25,57,98,57,53383,General,Arts,Female,26,0,5,International,Quiz,25,282,609,14,61,1,77,0,German,Coursera,Yes,Canada,MBA,Machine Learning
Ashley Haney,S882317,Data Science,B,2nd,2025,11/13/2000,"496 Mark Turnpike Suite 915
Cochranborough, IL 75469",330-611-9194,khampton@example.org,1.47,53,63,50,56674,SC,Arts,Male,25,10,4,Local,Hackathon,32,331,522,24,59,1,95,4,Spanish,Udacity,No,Canada,M.Sc,Data Science
Patrick Perez,S238909,Computer Science,C,2nd,2026,2/10/2003,"2670 Cardenas Vista
North Eric, CA 30445",+1-769-670-9798x06798,ghoffman@example.com,6.78,99,82,99,30449,OBC,None,Other,27,7,5,National,Quiz,29,303,500,43,7,3,85,3,Chinese,Udacity,Yes,USA,M.Sc,Machine Learning
Tracy Mason,S890307,Mechanical,C,4th,2028,6/30/1998,"060 Jacobs Village
Reginaton, NV 07205",466-866-1585,eric61@example.com,4.96,90,98,77,112002,SC,Sports,Female,25,1,5,National,Hackathon,69,301,339,48,94,2,82,3,German,Udacity,Yes,Germany,M.Tech,Software Engineering
Michael Ochoa,S215106,Mechanical,C,3rd,2025,8/15/1995,"5685 Cassandra Pine
East Scottshire, WA 23681",745.874.9700x2116,ryankatie@example.com,9.57,93,93,51,73537,OBC,Sports,Female,30,1,3,International,Coding Contest,37,326,467,10,16,3,70,3,German,None,No,Canada,M.Sc,Software Engineering
Emily Garcia,S361627,Computer Science,B,2nd,2027,3/15/2005,"3564 Anderson Lights
East Riley, MS 86563",912-810-8951x407,hinesheidi@example.org,3.43,94,91,67,73438,ST,Sports,Other,28,9,2,International,None,14,266,327,37,11,2,56,3,Spanish,edX,Yes,Canada,PhD,AI
Ruben Miller,S506888,Data Science,B,2nd,2025,2/13/2006,"652 Meadows Bridge
North Caitlyn, PR 67055",852.498.1334x51808,jessica83@example.org,8.26,83,58,57,108362,General,Music,Female,23,7,5,International,Quiz,52,293,656,34,103,8,53,3,Chinese,Coursera,Yes,USA,M.Sc,Data Science
Gloria Thomas,S639243,Data Science,C,1st,2027,5/18/1999,"231 John Lane
Melissaton, RI 50339",(319)351-5827x56002,donaldhanna@example.net,4.53,77,53,64,52965,SC,Music,Female,24,5,4,Local,Hackathon,89,275,331,70,110,8,42,1,Chinese,Udacity,No,Australia,M.Tech,AI
Dana Armstrong,S276041,Computer Science,B,2nd,2026,1/8/2006,"83742 Clinton Rest
North Jennifer, NH 89602",(963)259-4802x60837,tsmith@example.org,8.39,96,76,93,101257,ST,Arts,Male,18,3,3,International,Hackathon,28,325,215,18,48,9,0,1,English,Udacity,No,USA,M.Sc,AI
Randy Valentine,S697293,Data Science,B,2nd,2026,12/25/1993,"PSC 7193, Box 8287
APO AP 66877",907-801-1193x48275,melissakline@example.org,3.44,99,84,63,71720,General,Arts,Female,25,0,0,International,None,81,264,448,5,19,6,60,2,Spanish,edX,Yes,Germany,M.Tech,Machine Learning
Jacob Smith,S943449,Computer Science,A,2nd,2027,8/26/1997,"4033 Jose Hollow
North Sandra, ID 15092",214-384-6206,nunezwhitney@example.org,7.26,90,84,98,45548,SC,Sports,Other,30,5,0,International,Coding Contest,54,331,574,52,25,9,20,0,Spanish,edX,Yes,USA,M.Tech,AI
Tracy Jenkins,S467057,Mechanical,C,4th,2026,1/30/2003,"77931 Martin Shore Suite 257
Summerhaven, OK 55573",001-796-455-1821,fsimmons@example.org,4.92,50,64,50,92136,General,Arts,Female,30,9,4,Local,Hackathon,92,295,579,66,115,9,41,2,German,edX,No,USA,M.Tech,Data Science
Kaitlyn Harris,S471342,Data Science,A,3rd,2025,10/3/1999,"7886 Ralph Groves
West Adamchester, LA 77224",452.803.6703x213,john07@example.org,6.53,82,58,98,91839,SC,Sports,Other,30,0,4,National,None,87,284,315,2,37,3,53,2,German,Coursera,No,Canada,MBA,Data Science
Christopher Young,S385458,Data Science,C,3rd,2025,12/13/2005,"71820 Erin Alley Suite 913
Davidbury, KY 70679",996-372-2074x9263,john03@example.net,7.41,98,70,55,82178,ST,Arts,Other,21,9,5,National,Quiz,100,293,304,26,90,7,17,3,French,edX,No,Canada,MBA,AI
Carol Robertson,S735610,Electronics,C,3rd,2027,12/18/1998,"4749 Oconnor Ville
Lake Timothyside, WV 62227",+1-269-286-1085x6292,whitewesley@example.org,2.87,97,59,87,71217,ST,Sports,Female,30,1,1,Local,Coding Contest,64,320,630,43,43,4,49,5,English,Coursera,No,UK,M.Tech,AI
April Ortiz,S749829,Data Science,C,2nd,2028,10/16/2000,"5009 Reyes Walks Suite 253
Port Brianland, WA 52479",839-423-6909,ebonilla@example.org,3.53,97,63,76,87464,General,None,Male,27,5,1,Local,Coding Contest,76,312,416,25,14,6,68,0,Chinese,None,No,USA,MBA,Machine Learning
Kent Campbell,S119035,Mechanical,B,1st,2025,2/19/2000,"PSC 9014, Box 4285
APO AP 59984",001-708-682-3562,zimmermandonald@example.net,7.4,91,58,54,32571,ST,None,Male,24,3,2,National,Quiz,56,331,299,86,61,6,38,2,English,Coursera,Yes,Canada,M.Tech,Software Engineering
Jasmine Gilbert,S130571,Electronics,B,4th,2028,2/13/1996,"PSC 6787, Box 1162
APO AA 33806",6939229575,hmendoza@example.net,9.64,81,75,68,108567,ST,Music,Female,25,3,1,Local,None,46,296,538,82,18,0,9,4,Chinese,Udacity,Yes,Canada,PhD,Machine Learning
Margaret Levine,S571534,Computer Science,C,3rd,2028,7/20/1996,"996 Allen Lodge Suite 476
Jacquelinehaven, DE 33099",389.609.6089x926,pturner@example.org,1.23,62,76,94,103623,ST,Music,Other,30,5,5,International,Quiz,57,264,484,65,15,4,78,1,French,Udacity,Yes,Germany,MBA,Machine Learning
Megan Garrett,S396284,Computer Science,A,2nd,2026,6/20/2002,"77939 Mary Trail
Haroldview, SD 86035",+1-303-366-4357x78375,leblancdavid@example.com,0.51,96,89,56,114899,OBC,Music,Male,21,9,2,Local,Coding Contest,100,269,324,63,21,5,60,5,Spanish,None,Yes,Germany,MBA,Data Science
Heidi Vargas,S239072,Mechanical,C,2nd,2028,8/3/2005,"85785 Clark Motorway Suite 504
Port Debbieville, CA 29642",(502)893-9091,nmiller@example.net,1.89,98,67,83,62596,General,Sports,Male,30,6,4,Local,None,45,322,573,91,22,2,4,5,English,edX,Yes,Germany,M.Sc,Machine Learning
Andrew Nolan,S196535,Mechanical,C,1st,2027,1/12/2000,"Unit 6545 Box 4174
DPO AP 68875",+1-666-546-2131x991,snyderamy@example.com,9.41,53,84,54,49377,OBC,Music,Male,30,10,5,International,Hackathon,62,268,595,84,65,3,13,0,German,Coursera,Yes,USA,M.Tech,Machine Learning
Sydney Mitchell,S602522,Mechanical,B,2nd,2027,7/24/2002,"8224 Wolf Meadows Apt. 647
North Ralph, NE 64074",798-776-1735x48082,savannahdonaldson@example.com,6.22,97,60,93,112384,General,Sports,Female,27,9,5,Local,None,92,301,345,51,54,8,63,2,Spanish,edX,No,Australia,M.Tech,Data Science
Katherine Henderson,S877978,Mechanical,B,2nd,2026,11/29/2002,"756 Walker Forest Apt. 780
Jeremyfurt, WI 76521",001-969-227-8567,michael14@example.org,2.57,80,69,81,75619,OBC,Music,Female,24,7,3,National,Hackathon,44,301,419,21,56,0,75,1,English,None,Yes,Germany,M.Sc,Software Engineering
Jason Wilson,S429120,Electronics,A,2nd,2027,9/8/2003,"58884 Weaver Glen
East Zachary, CO 09423",(220)304-2176x2665,jmccarthy@example.net,3.58,90,80,85,35647,SC,Sports,Male,25,2,5,International,Hackathon,72,294,657,63,6,7,65,0,Chinese,Udacity,Yes,Canada,M.Tech,Data Science
Dana Berry,S137993,Mechanical,A,4th,2027,3/15/2000,"500 Marsh Mountains Apt. 612
Kaufmanfort, PA 27851",357-795-6683x876,gina10@example.org,0.11,63,66,76,56402,OBC,Music,Other,25,1,3,National,Coding Contest,10,312,336,76,58,6,53,2,French,Coursera,Yes,Canada,MBA,Software Engineering
Miranda Flores,S430642,Data Science,B,1st,2026,2/24/2001,"346 Wendy Land
Tranhaven, WV 69207",942.981.8024,nolantroy@example.com,4.76,80,64,90,49385,SC,Arts,Male,31,4,2,National,Coding Contest,32,333,722,81,102,8,61,5,Chinese,None,Yes,USA,MBA,Data Science
